,normal,ecg_duration,number_of_beats,mean_qrs_amplitude,standard_deviation_qrs_amplitude,mean_t_amplitude,standard_deviation_t_amplitude,mean_p_amplitude,standard_deviation_p_amplitude,mean_rr_interval,standard_deviation_rr_interval,mean_pr_interval,standard_deviation_pr_interval,mean_qt_interval,standard_deviation_qt_interval,mean_pr_segment,standard_deviation_pr_segment,mean_st_deviation,standard_deviation_st_deviation,mean_heart_rate,standard_deviation_heart_rate
1589,1,30.0,33,0.4545,0.9045,-0.4,0.9322,0.2593,0.9842,0.9046,0.1332,-0.5929,0.6783,1.454,0.9004,1.5992,0.7057,-0.625,0.7931,72.2989,42.5638
1590,0,30.0,45,-0.6444,0.7733,-0.1905,0.9936,0.0256,1.0127,0.6636,0.2543,-0.4406,0.549,1.0967,0.5994,1.218,0.5818,-0.1364,1.0021,111.1763,67.1296
1591,0,30.0,49,0.3878,0.9313,0.0222,1.0111,-0.3333,0.9542,0.6071,0.256,-0.4529,0.6429,1.097,0.7179,1.1561,0.7029,-0.1667,0.9964,120.2768,55.8874
1592,1,30.0,28,1.0,0.0,0.68,0.7483,-0.3636,0.9535,1.0833,0.0183,-0.6289,0.7329,1.6632,0.9655,1.8172,0.7341,-0.7037,0.724,55.3998,0.932
1593,1,30.0,26,0.5385,0.8593,0.1304,1.0137,-0.1,1.0208,1.1169,0.0714,-0.7641,0.8818,1.7004,1.0308,1.9858,0.8889,-0.04,1.0198,53.9298,3.4548
1594,1,30.0,35,-0.3143,0.9632,0.25,0.9837,0.1724,1.0025,0.863,0.0211,-0.5873,0.6427,1.4171,0.8048,1.5532,0.6459,0.1765,0.9991,69.5619,1.6927
1595,1,30.0,26,-0.3077,0.9703,-0.3043,0.974,0.0,1.026,1.1391,0.0163,-0.8229,0.8785,1.6599,1.0253,2.067,0.8782,0.44,0.9165,52.6854,0.7787
1596,0,10.7133,14,0.1429,1.0271,-0.8333,0.5774,-0.6364,0.809,0.7715,0.1305,0.2503,0.1491,0.3917,0.0174,0.6244,0.1638,-0.8462,0.5547,79.882,13.8652
1597,1,30.0,37,-0.2432,0.9833,0.4118,0.925,-0.2903,0.9727,0.8144,0.0213,-0.552,0.6096,1.3566,0.737,1.4876,0.6171,-0.9444,0.3333,73.7189,1.9278
1598,0,30.0,29,0.7241,0.7019,-1.0,0.0,-0.6522,0.7751,1.0319,0.0078,-0.5869,0.6987,1.5106,1.0032,1.7269,0.6932,-0.7143,0.7127,58.1481,0.4419
1599,0,30.0,55,0.4182,0.9167,-0.0385,1.009,0.4286,0.9129,0.542,0.1202,-0.3543,0.4852,0.9097,0.4874,0.9978,0.5067,-0.037,1.0087,115.8808,24.3698
1600,0,30.0,29,-0.1724,1.0025,0.1538,1.0077,0.0435,1.0215,1.0308,0.2007,-0.7282,0.7316,1.6442,0.9962,1.8728,0.7554,0.0,1.0184,64.4189,35.7482
1601,1,32.5667,38,-0.2632,0.9777,0.1176,1.008,0.2667,0.9803,0.8601,0.1855,-0.6281,0.8439,1.4869,1.0209,1.583,0.9554,-0.4054,0.9267,75.6214,28.339
1602,0,30.0,49,0.0204,1.0102,-0.2174,0.9869,-0.5349,0.8549,0.6062,0.1204,-0.4029,0.5142,1.0428,0.5207,1.122,0.5309,-0.0833,1.0071,103.3315,22.6404
1603,0,60.26,63,0.3651,0.9385,-0.2857,0.967,-0.44,0.9071,0.951,0.1473,-2.051,1.6059,3.0055,1.7088,3.1145,1.5973,-0.9032,0.4327,67.4385,35.0863
1604,0,30.0,24,0.8333,0.5647,0.2381,0.9952,-0.3333,0.9701,1.211,0.224,-0.8219,0.8926,1.8219,1.1391,2.1802,0.9407,-0.3913,0.9409,51.6713,12.2412
1605,1,30.0,31,0.0323,1.016,0.5,0.8819,-0.36,0.9522,0.9546,0.2469,-0.6895,0.9335,1.5124,1.0375,1.731,1.0796,-0.0667,1.0148,71.2054,36.9159
1606,0,30.0,29,0.7241,0.7019,0.3846,0.9414,0.3043,0.974,1.0067,0.1435,-0.6645,0.7507,1.5899,0.9655,1.7683,0.836,-0.5,0.8819,62.2849,19.9996
1607,1,30.0,25,-0.36,0.9522,-0.2727,0.9847,-0.4737,0.9048,1.1812,0.0169,-0.8564,0.9131,1.7309,1.0701,2.132,0.9056,0.9167,0.4082,50.8036,0.7285
1608,1,60.0,86,0.8605,0.5125,0.225,0.9805,-0.3784,0.932,0.7013,0.0349,-1.5491,1.218,2.2864,1.3189,2.3824,1.2364,-0.0353,1.0053,85.7652,4.2637
1609,0,36.38,37,0.1351,1.0045,0.0303,1.015,-0.3103,0.9675,0.9744,0.1397,-0.9433,0.9346,1.8648,1.1371,2.0118,0.9515,-0.4444,0.9085,63.6315,15.2146
1610,0,42.46,51,0.1765,0.9941,-0.3043,0.9631,0.2195,0.9877,0.8211,0.0908,-1.0296,0.952,1.8254,1.047,1.9714,0.9717,0.88,0.4798,74.0448,10.0359
1611,0,15.86,26,-0.6154,0.8038,-0.0833,1.018,0.1818,1.0065,0.6037,0.0922,-0.044,0.3186,0.5447,0.3202,0.7465,0.361,0.68,0.7483,103.3671,27.6294
1612,1,30.0,43,-0.0233,1.0116,-0.0769,1.0101,0.2222,0.9888,0.698,0.2171,-0.6587,0.8359,1.3285,0.8677,1.4374,0.801,-0.0476,1.011,102.6025,59.4763
1613,1,30.0,45,0.2889,0.9682,0.1707,0.9976,-0.0256,1.0127,0.6721,0.1216,-0.4944,0.5284,1.2366,0.753,1.2589,0.4979,-0.0455,1.0105,93.8615,27.3231
1614,0,30.0,62,0.3871,0.9296,-0.1034,1.0033,-0.0182,1.009,0.4838,0.2419,-0.4113,0.5304,0.956,0.5759,0.9851,0.5314,0.1148,1.0016,156.1427,70.1381
1615,1,60.0,54,-0.1852,0.9919,0.0417,1.0097,0.5238,0.8622,1.1172,0.0734,-2.4335,1.9549,3.3594,2.0354,3.6547,1.967,0.1321,1.0007,53.9979,4.6656
1616,1,30.0,72,0.1111,1.0008,-0.194,0.9884,-0.1692,0.9932,0.412,0.1395,-0.6843,0.4109,1.4586,0.5789,1.177,0.4453,-0.1268,0.999,165.4831,63.843
1617,1,30.0,35,0.2571,0.9805,-0.125,1.008,0.1034,1.0122,0.869,0.3346,-0.593,0.8316,1.3286,0.9951,1.5386,0.983,-0.1765,0.9991,87.2905,51.7183
1618,1,30.0,61,0.5082,0.8684,-0.2963,0.9641,-0.2941,0.9653,0.4887,0.2135,-0.7568,1.001,1.2754,1.0499,1.3405,1.0174,-0.2333,0.9806,151.0417,84.8621
1619,1,30.2733,37,-0.0811,1.0105,0.2727,0.977,0.2667,0.9803,0.8156,0.0638,-0.5322,0.6509,1.3607,0.7784,1.4646,0.6622,0.7778,0.6375,73.9523,5.1747
1620,0,10.8467,18,0.5556,0.8556,0.125,1.0247,0.3333,0.9759,0.5933,0.1467,0.1985,0.0831,0.371,0.0917,0.4848,0.1417,-0.4118,0.9393,109.1647,36.5682
1621,1,32.4867,34,0.2353,0.9865,0.6,0.8137,0.2308,0.9923,0.9539,0.0565,-0.6992,0.9099,1.6003,1.0364,1.741,0.8881,-0.8788,0.4846,63.1077,3.6728
1622,1,30.0,39,-0.0256,1.0127,-0.0857,1.0109,0.0,1.016,0.7634,0.2056,-0.7727,0.8572,1.4855,0.9556,1.6169,0.8082,-0.1053,1.0078,91.0067,54.335
1623,1,30.0,32,0.0,1.016,0.4483,0.9097,0.3846,0.9414,0.9401,0.1471,-0.5491,0.7404,1.4778,0.9104,1.5992,0.7948,0.1613,1.0032,68.1934,30.1653
1624,0,60.0,76,0.0789,1.0035,-0.1429,0.9969,-0.1562,0.9955,0.7941,0.1765,-1.709,1.378,2.4194,1.4382,2.6201,1.381,-0.8933,0.4524,79.0979,16.5472
1625,1,30.0,37,0.3514,0.9492,0.0,1.015,-0.3548,0.9504,0.8074,0.0345,-0.5123,0.6076,1.2661,0.802,1.4224,0.6337,-0.4444,0.9085,74.4387,3.0624
1626,1,30.0,48,-0.2083,0.9884,0.6444,0.7733,0.6667,0.7544,0.6252,0.0059,-0.4513,0.5368,0.9899,0.5868,1.1841,0.5479,0.7447,0.6746,95.9703,0.9086
1627,1,30.0,62,-0.3226,0.9543,0.1786,0.9928,-0.0943,1.0051,0.4811,0.1729,-1.4073,1.0047,1.8552,1.0197,1.9582,1.0652,-0.1967,0.9801,146.3826,67.3337
1628,1,30.0,35,0.3714,0.942,-0.1875,0.998,0.1724,1.0025,0.8461,0.0122,-0.603,0.6338,1.4017,0.7634,1.5542,0.6364,0.5294,0.8611,70.9299,1.0287
1629,1,30.0,55,0.3818,0.9328,-0.24,0.9806,-0.1667,0.9964,0.5493,0.288,-0.6244,0.8108,1.1865,0.9394,1.2352,0.888,-0.2593,0.9749,138.5395,70.8416
1630,0,36.519999999999996,88,0.2955,0.9608,0.1084,1.0001,-0.1899,0.9881,0.4153,0.1459,-0.7785,0.5261,1.2424,0.5298,1.2841,0.5158,-0.2989,0.9538,165.3359,70.2083
1631,1,30.0,59,-0.4237,0.9136,0.2222,0.9842,0.1923,0.9909,0.5106,0.2063,-0.4661,0.5813,1.1775,0.8124,1.043,0.5514,0.1379,0.9991,144.7304,78.2299
1632,1,30.0,37,0.0811,1.0105,0.1765,0.9991,0.3548,0.9504,0.7992,0.1046,-0.5325,0.622,1.343,0.7384,1.4565,0.6452,-0.4444,0.9085,77.7097,21.0026
1633,1,36.3,57,0.0175,1.0087,-0.0566,1.008,-0.2653,0.9742,0.6238,0.216,-0.6136,0.709,1.2083,0.8211,1.3422,0.8291,-0.2143,0.9856,110.8464,44.5209
1634,0,30.0,46,-0.6522,0.7664,-0.2558,0.9782,-0.05,1.0115,0.6405,0.1371,-0.4205,0.5622,1.055,0.6795,1.1678,0.6598,0.1556,0.999,101.1112,37.554
1635,1,30.0,37,-0.1351,1.0045,0.2941,0.9701,0.3548,0.9504,0.8088,0.1524,-0.5343,0.6181,1.2892,0.7438,1.4556,0.6393,-0.2222,0.9888,81.8207,43.8359
1636,0,14.9067,15,0.6,0.8281,0.5385,0.8771,0.4545,0.9342,0.9619,0.3266,-0.0174,0.3673,0.8638,0.7926,1.11,0.5101,-0.4286,0.9376,71.2728,29.938
1637,0,30.0,38,0.1053,1.0078,0.2571,0.9805,0.1875,0.998,0.7935,0.1894,-0.5209,0.6413,1.2562,0.6997,1.4235,0.6622,0.027,1.0134,79.517,17.8681
1638,1,30.0,33,-0.3333,0.9574,0.1333,1.008,-0.2593,0.9842,0.9047,0.0232,-0.5647,0.6503,1.4236,0.8346,1.5947,0.6755,-0.625,0.7931,66.3636,1.7041
1639,1,30.0,33,-0.3333,0.9574,0.5333,0.8604,0.1852,1.0014,0.8973,0.018,-0.5834,0.6575,1.4272,0.8182,1.5964,0.6667,0.375,0.9419,66.8942,1.3517
1640,0,30.0,25,0.36,0.9522,0.0,1.0235,0.0526,1.026,1.2239,0.5422,-0.8691,1.2562,1.7673,1.5242,2.1656,1.6006,-0.0833,1.018,68.4097,47.8053
1641,0,12.6467,15,0.6,0.8281,0.8462,0.5547,0.4545,0.9342,0.8295,0.1666,0.039,0.276,0.5321,0.3714,0.8987,0.3502,-0.4286,0.9376,76.8806,24.7263
1642,0,30.0,49,0.1837,0.9932,0.1739,0.9956,-0.1163,1.005,0.6087,0.3757,-0.3986,0.5911,0.9845,0.7004,1.1174,0.7498,-0.0833,1.0071,119.8414,39.1342
1643,0,30.0,34,0.5882,0.8209,-0.6774,0.7478,-0.7857,0.6299,0.8423,0.3437,-0.5537,0.6681,1.3269,0.9035,1.5197,0.7654,-0.6364,0.7833,90.7463,53.6377
1644,1,30.0,43,0.907,0.4262,0.25,0.9806,-0.2432,0.9833,0.7017,0.0416,-0.5162,0.5547,1.1813,0.6335,1.3232,0.5633,-0.381,0.9358,85.8394,5.7706
1645,1,30.0,32,0.3125,0.9651,0.2414,0.9876,0.0769,1.0168,0.9182,0.0753,-0.6033,0.713,1.5041,0.8887,1.631,0.7494,-0.4839,0.8896,65.8084,5.8386
1646,1,30.0,41,0.0244,1.0121,0.1053,1.0078,-0.2,0.9941,0.7093,0.2621,-0.4638,0.6181,1.1316,0.7489,1.2722,0.698,0.15,1.0013,103.802,57.1861
1647,0,56.46,53,0.6604,0.7581,0.0638,1.0087,-0.6585,0.7619,1.0515,0.0387,-1.9931,1.6366,3.0574,1.7529,3.1521,1.6241,-1.0,0.0,57.1376,2.0761
1648,1,23.5467,38,0.7368,0.6851,0.1429,1.0042,-0.25,0.9837,0.6229,0.1146,-0.2578,0.4206,0.8328,0.4785,0.9825,0.4324,-0.1892,0.9955,102.395,36.1798
1649,1,30.0,40,0.95,0.3162,-0.1351,1.0045,0.0,1.015,0.7548,0.0209,-0.5756,0.5834,1.2865,0.7558,1.4524,0.5601,-0.8462,0.5399,79.5501,2.1299
1650,1,30.0,45,-0.0667,1.009,-0.0476,1.011,0.0256,1.0127,0.6661,0.24,-0.423,0.602,1.1069,0.6758,1.1863,0.6866,-0.0455,1.0105,104.8786,44.7355
1651,1,30.0,45,-0.3333,0.9535,0.0,1.0121,-0.1282,1.0047,0.6523,0.2127,-0.4206,0.6135,1.09,0.7733,1.1703,0.7734,0.0909,1.0074,106.6171,48.0459
1652,1,60.0,76,-0.4737,0.8865,-0.0286,1.0068,-0.375,0.9344,0.7908,0.0143,-1.6942,1.3382,2.5286,1.4108,2.5957,1.344,0.8667,0.5022,75.8968,1.3657
1653,1,30.0,40,0.3,0.9661,-0.1892,0.9955,-0.4706,0.8956,0.7401,0.1343,-0.5208,0.5553,1.2326,0.6309,1.3632,0.5588,-0.3333,0.9551,87.3021,37.2431
1654,0,30.0,41,0.2195,0.9877,-0.3158,0.9616,-0.1429,1.0042,0.7348,0.2106,-0.4805,0.6187,1.1263,0.7304,1.3182,0.6741,-0.75,0.6699,87.5455,21.9399
1655,1,30.0,36,-0.2778,0.9743,0.1515,1.0038,0.4667,0.8996,0.8398,0.2229,-0.5591,0.643,1.3514,0.7764,1.4959,0.6888,-0.2,0.9941,78.4808,34.5773
1656,1,30.0,42,0.8095,0.5942,-0.0769,1.0101,0.2778,0.9743,0.708,0.061,-0.5055,0.5855,1.1249,0.6111,1.3159,0.596,0.0244,1.0121,85.8867,13.7223
1657,1,36.8733,60,0.5,0.8733,0.2,0.9888,0.8431,0.543,0.6193,0.075,-0.8077,0.8909,1.3863,0.8722,1.5192,0.8676,0.7458,0.659,99.8226,26.956
1658,0,60.0,61,-0.4426,0.9041,0.4545,0.8989,-0.6327,0.7825,0.9754,0.11,-2.0645,1.6243,3.125,1.7301,3.1662,1.6318,-0.6333,0.7804,62.964,13.2981
1659,0,30.0,56,0.2143,0.9856,-0.3208,0.9562,-0.56,0.8369,0.5267,0.2398,-0.3716,0.4634,0.8906,0.5369,0.9981,0.5228,-0.6364,0.7785,159.7477,178.8711
1660,1,30.0,36,0.4444,0.9085,-0.4545,0.9045,-0.8667,0.5074,0.8056,0.1754,-0.5307,0.5923,1.2931,0.6926,1.4402,0.5576,-0.8286,0.5681,80.7134,29.8177
1661,0,30.0,33,0.5152,0.8704,0.2,0.9965,0.5556,0.8473,0.9081,0.1814,-0.61,0.7215,1.4353,0.8249,1.6488,0.7654,-0.75,0.672,68.8917,14.7408
1662,0,46.18,67,0.8209,0.5754,0.129,0.9997,-0.1579,0.9962,0.6863,0.1141,-1.0098,0.9534,1.6811,1.0077,1.8058,1.0067,-0.7879,0.6205,90.9087,22.0475
1663,1,32.4267,33,-0.697,0.7282,-0.1724,1.0025,0.36,0.9522,0.9978,0.0175,-0.7178,0.8396,1.7125,1.0408,1.8328,0.8506,0.9375,0.3536,60.1496,1.0637
1664,1,30.0,47,0.1064,1.0051,-0.2558,0.9782,-0.3659,0.9422,0.6307,0.2675,-0.3883,0.5617,1.2843,0.9115,1.1091,0.6146,-0.3478,0.9479,117.5691,56.9699
1665,0,30.0,45,0.2889,0.9682,-0.0476,1.011,-0.0256,1.0127,0.6602,0.2991,-0.4424,0.5992,1.0503,0.6413,1.2072,0.6414,0.0,1.0116,110.6474,51.0467
1666,0,30.0,47,0.4468,0.9043,0.2093,0.9894,0.4146,0.9213,0.6287,0.1928,-0.4039,0.5388,1.2009,0.7205,1.1388,0.533,0.087,1.0072,106.3272,40.1283
1667,0,39.14,47,0.5319,0.856,-0.4419,0.9077,-0.7436,0.6774,0.8328,0.2019,-0.9346,0.9567,1.7091,0.9821,1.8791,0.9633,-0.9565,0.2949,76.3297,18.7826
1668,0,15.64,18,-0.4444,0.9218,0.25,1.0,0.2857,0.9945,0.8925,0.1803,0.0204,0.43,0.7927,0.4872,0.9646,0.4649,0.4118,0.9393,69.6852,13.2034
1669,0,30.0,48,0.3333,0.9528,0.0667,1.009,0.1905,0.9936,0.6139,0.1102,-0.4139,0.5184,0.9556,0.5197,1.1255,0.5283,-0.5745,0.8274,100.8133,17.9237
1670,1,60.0,89,0.5281,0.854,0.0244,1.0059,-0.2105,0.9841,0.6689,0.1388,-1.9557,1.452,2.6224,1.5625,2.7386,1.4969,0.1364,0.9963,97.7481,43.6415
1671,0,9.56,17,-0.1765,1.0146,-0.5,0.8944,-0.3333,0.9759,0.5765,0.0453,0.1725,0.0908,0.3615,0.0615,0.5023,0.0977,0.125,1.0247,104.7297,8.8721
1672,1,30.0,39,0.6923,0.731,0.2222,0.9888,0.2121,0.9924,0.7579,0.0185,-0.523,0.5794,1.1703,0.6342,1.3859,0.574,0.1053,1.0078,79.2128,1.9392
1673,1,30.0,44,0.9545,0.3015,0.1707,0.9976,0.1579,1.0007,0.6715,0.086,-0.4876,0.5482,1.0707,0.607,1.2734,0.5522,0.0698,1.0094,92.7021,28.5301
1674,1,30.0,29,0.1034,1.0122,0.0769,1.0168,0.3913,0.9409,1.0469,0.0723,-0.679,0.7466,1.6418,0.9218,1.8304,0.7146,0.5,0.8819,57.5726,3.9268
1675,1,60.0,93,-0.6129,0.7944,-0.1954,0.9864,0.037,1.0055,0.6407,0.0478,-1.4281,1.1948,1.9989,1.2492,2.167,1.2401,0.0,1.0055,94.1702,7.0753
1676,0,30.0,41,0.9512,0.3123,0.4737,0.8925,0.2,0.9941,0.7248,0.0851,-0.4993,0.5537,1.2089,0.6149,1.3335,0.5397,0.25,0.9806,84.9813,19.3011
1677,0,30.0,35,-0.4857,0.8869,-0.125,1.008,0.2414,0.9876,0.857,0.1209,-0.5424,0.6662,1.3334,0.7856,1.508,0.6891,0.6471,0.7739,71.699,13.0582
1678,0,35.4533,43,0.7209,0.7012,-0.1579,1.0007,-0.3529,0.9497,0.8208,0.1649,-0.8939,1.0955,1.6225,1.193,1.7786,1.0296,-0.8095,0.5942,76.2271,16.2729
1679,1,30.0,32,0.125,1.008,0.1724,1.0025,0.3846,0.9414,0.914,0.1846,-0.584,0.6334,1.4726,0.8097,1.598,0.6214,0.4839,0.8896,73.5545,41.6222
1680,0,30.0,31,0.2258,0.9903,0.2143,0.9947,0.04,1.0198,0.9812,0.3232,-0.6175,0.8723,1.57,0.9848,1.6927,0.9962,-0.0667,1.0148,68.7911,28.73
1681,1,37.1933,34,0.5294,0.8611,-0.2667,0.9803,0.0,1.0198,1.0623,0.0295,-1.0132,1.0521,2.0409,1.2249,2.1747,1.0372,-0.6364,0.7833,56.523,1.5997
1682,1,16.78,25,0.04,1.0198,0.1304,1.0137,-0.0476,1.0235,0.6611,0.1915,-0.0443,0.3419,0.6913,0.4808,0.8059,0.473,0.0,1.0215,103.6416,48.5258
1683,0,30.0,28,0.2143,0.9947,-0.28,0.9798,-0.4545,0.9117,1.0946,0.3911,-0.7344,0.9772,1.6273,1.159,1.906,1.1749,-0.037,1.0184,69.9856,47.2085
1684,0,30.0,40,0.1,1.0077,0.1892,0.9955,0.4118,0.925,0.7452,0.1793,-0.4786,0.6303,1.2334,0.7852,1.3208,0.7283,0.3846,0.9351,89.2614,39.5071
1685,0,60.0,91,-0.0769,1.0026,-0.1529,0.9941,0.0886,1.0024,0.6595,0.3291,-1.4474,0.9297,2.0577,0.9258,2.2082,0.8682,-0.8,0.6034,102.8505,27.461
1686,1,30.0,39,0.4359,0.9118,-0.1667,1.0,-0.1515,1.0038,0.7778,0.0312,-0.5276,0.5934,1.2411,0.7113,1.4231,0.5863,-0.3684,0.9421,77.2641,3.178
1687,1,13.7867,17,0.5294,0.8745,0.2,1.0142,0.2308,1.0127,0.7975,0.15,0.0056,0.3116,0.5824,0.3103,0.8982,0.3228,-0.375,0.9574,78.2903,17.5117
1688,0,30.0,29,-0.7931,0.6199,-0.3846,0.9414,0.2174,0.998,1.0448,0.0927,-0.5949,0.7908,1.6026,0.9305,1.7587,0.7859,0.7143,0.7127,58.1988,9.012
1689,0,14.8933,21,-0.2381,0.9952,0.0526,1.026,0.1765,1.0146,0.7237,0.1916,-0.026,0.3322,0.6407,0.3912,0.8446,0.3614,0.0,1.026,91.6698,35.9772
1690,0,60.0,96,0.0625,1.0033,-0.0455,1.0047,0.2048,0.9848,0.6246,0.2237,-1.6604,1.4053,2.6194,1.7797,2.3749,1.4127,-0.0316,1.0048,116.2067,61.9215
1691,0,53.4733,89,-0.0112,1.0056,-0.0488,1.005,-0.1053,1.0011,0.6029,0.2149,-1.3206,1.3543,1.8807,1.3832,2.0083,1.4158,-0.5,0.871,117.7762,56.0292
1692,1,31.3333,48,0.875,0.4892,0.3182,0.959,-0.25,0.9806,0.6421,0.0116,-0.5359,0.5439,1.0901,0.5898,1.2922,0.5531,0.234,0.9827,93.4799,1.717
1693,0,60.0,73,-0.1781,0.9908,-0.0448,1.0065,-0.1475,0.9973,0.8184,0.1924,-1.6996,1.4525,2.4901,1.573,2.6215,1.4725,-0.25,0.975,80.8106,33.9455
1694,1,30.0,35,-0.3143,0.9632,0.25,0.9837,0.4483,0.9097,0.8403,0.2094,-0.5447,0.6125,1.3404,0.7914,1.4822,0.6234,0.5294,0.8611,78.8531,31.3522
1695,1,30.0,27,0.5556,0.8473,0.1667,1.0072,-0.2381,0.9952,1.0933,0.1591,-0.806,0.9292,1.7189,1.0363,1.9953,0.9629,-0.6154,0.8038,57.1695,16.7843
1696,0,30.0,25,0.76,0.6633,0.2727,0.9847,-0.4737,0.9048,1.2083,0.0443,-0.9439,0.9388,1.8286,1.0855,2.252,0.9302,-0.9167,0.4082,49.718,1.7882
1697,0,30.0,33,-0.0909,1.0113,0.7333,0.6915,0.2593,0.9842,0.9044,0.1067,-0.6292,0.6941,1.4527,0.834,1.6589,0.6849,-0.0625,1.014,67.4207,10.3419
1698,1,30.0,36,-0.3889,0.9344,-0.2121,0.9924,-0.2,0.9965,0.8144,0.1357,-0.5271,0.6669,1.3206,0.8199,1.4527,0.7458,-0.4857,0.8869,77.3708,23.5522
1699,0,30.0,40,0.9,0.4414,-0.1892,0.9955,-0.6471,0.7739,0.742,0.0999,-0.5076,0.6049,1.1534,0.6732,1.3559,0.6393,-0.9487,0.3203,84.408,28.6892
1700,1,31.9467,34,-0.3529,0.9497,0.3333,0.9589,-0.0769,1.0168,0.9473,0.0096,-0.7246,0.7633,1.6279,0.958,1.8193,0.7459,-0.9394,0.3482,63.346,0.6375
1701,1,46.06,67,0.8209,0.5754,-0.0323,1.0076,-0.0877,1.005,0.6863,0.0623,-1.0628,0.907,1.7432,0.9696,1.8643,0.9152,0.0606,1.0058,88.8852,16.6403
1702,1,60.0,96,-0.125,0.9974,0.0,1.0056,-0.6429,0.7706,0.6185,0.016,-1.362,1.1003,1.8823,1.0618,2.086,1.1209,-0.5368,0.8482,97.0767,2.5912
1703,1,30.0,35,-0.1429,1.0042,0.0625,1.014,0.2414,0.9876,0.855,0.1584,-0.5231,0.6902,1.3494,0.8185,1.4909,0.705,0.0588,1.0133,75.7242,34.739
1704,1,39.786699999999996,44,-0.4545,0.901,0.25,0.9806,0.5556,0.8433,0.9097,0.0137,-1.0378,0.9224,1.9092,1.0412,2.062,0.9221,-0.4884,0.883,65.9711,0.9902
1705,1,30.0,30,0.5333,0.8604,-0.037,1.0184,0.1667,1.0072,1.0034,0.0197,-0.5636,0.7741,1.5532,0.9273,1.6828,0.7692,-0.3103,0.9675,59.816,1.1715
1706,1,16.42,19,0.2632,0.9912,0.4118,0.9393,0.3333,0.9759,0.8411,0.0151,-0.0759,0.3389,0.7906,0.5269,1.0322,0.3493,0.1111,1.0226,71.3556,1.2632
1707,1,30.0,36,-0.3333,0.9562,0.3939,0.9334,0.3333,0.9589,0.8347,0.0057,-0.5327,0.619,1.3029,0.6946,1.4924,0.632,-0.6,0.8117,71.8883,0.4949
1708,1,30.0,59,0.1186,1.0015,-0.1786,0.9928,-0.0943,1.0051,0.4979,0.1817,-0.3155,0.4521,0.8304,0.4921,0.893,0.4849,-0.1034,1.0033,137.9171,51.0327
1709,0,12.3867,21,0.619,0.8047,0.3684,0.9551,0.4118,0.9393,0.5358,0.1656,0.1261,0.1957,0.3886,0.1454,0.487,0.2278,-0.3,0.9787,124.7754,45.7071
1710,1,30.0,29,0.3793,0.9416,0.3846,0.9414,0.0435,1.0215,1.0446,0.0204,-0.7308,0.7423,1.6853,0.9236,1.9094,0.7164,-0.4286,0.9201,57.457,1.1193
1711,0,17.6333,40,0.4,0.9282,-0.2973,0.968,-0.2222,0.9888,0.4437,0.1622,-0.0368,0.2227,0.6949,0.4428,0.5818,0.2281,-0.0256,1.0127,154.1004,57.3042
1712,1,30.0,46,-0.4348,0.9105,-0.0952,1.0075,0.3333,0.9551,0.6447,0.2164,-1.0081,0.7945,1.5875,0.9034,1.7358,0.9104,0.0667,1.009,110.174,60.3044
1713,1,30.0,42,0.7143,0.7083,-0.3333,0.9551,-0.5556,0.8433,0.7226,0.3484,-0.5171,0.7023,1.1662,0.8771,1.3366,0.8783,-0.3171,0.9602,114.5207,69.4638
1714,1,30.0,44,0.9091,0.4214,0.2195,0.9877,-0.4211,0.9192,0.6798,0.0396,-0.5267,0.5569,1.1412,0.6681,1.3248,0.5725,-0.4419,0.9077,88.5721,5.606
1715,1,30.0,47,-0.3617,0.9424,-0.1163,1.005,0.15,1.0013,0.6384,0.2242,-1.0036,0.7986,1.6409,0.961,1.7112,1.0213,-0.1739,0.9956,114.465,69.0968
1716,0,33.6333,39,-0.3333,0.9551,0.0286,1.0142,0.2258,0.9903,0.8547,0.0651,-0.711,0.7798,1.502,0.9017,1.6815,0.7853,0.0526,1.012,70.7005,7.0184
1717,0,30.0,26,0.7692,0.6516,0.2174,0.998,-0.6,0.8208,1.1469,0.0249,-0.659,0.9039,1.6699,1.1175,1.9122,0.9155,-1.0,0.0,52.3376,1.1586
1718,0,30.0,45,0.2889,0.9682,-0.0952,1.0075,0.3333,0.9551,0.6617,0.136,-0.4357,0.5913,1.0398,0.6065,1.1894,0.6406,-0.1818,0.9947,96.4551,34.32
1719,1,30.0,27,0.4815,0.8932,0.1667,1.0072,-0.0476,1.0235,1.1342,0.0336,-0.7639,0.8045,1.709,1.0319,2.001,0.8013,-0.2308,0.9923,52.9444,1.587
1720,0,30.0,49,0.6735,0.7469,0.1304,1.0024,-0.3488,0.9483,0.5972,0.1892,-0.3862,0.4719,0.964,0.4714,1.0959,0.4669,-0.2083,0.9884,114.6811,48.7758
1721,1,30.0,28,0.4286,0.9201,0.0833,1.018,-0.0476,1.0235,1.0448,0.0408,-1.0014,1.2801,1.9757,1.48,2.1497,1.274,0.1111,1.0127,57.5111,2.2545
1722,1,30.0,38,0.3158,0.9616,-0.3143,0.9632,-0.25,0.9837,0.784,0.0088,-0.5114,0.6338,1.2662,0.7196,1.4092,0.6455,0.4595,0.9005,76.5435,0.8572
1723,1,30.0,28,0.1429,1.0079,-0.04,1.0198,-0.3636,0.9535,1.0523,0.0204,-0.6315,0.7592,1.6184,0.9618,1.7844,0.7684,-0.4074,0.9306,57.036,1.099
